title,box_off_num
용서는 없다,3245979.57
아빠가 여자를 좋아해,2377275.96
하모니,2056220.74
의형제,1827408.11
평행 이론,1113952.44
회오리 바람,1963.33
경계도시 2,9382.73
이웃집 남자,106.75
아마존의 눈물 극장판,22513.32
반가운 살인자,211342.33
집 나온 남자들,411134.73
베스트셀러,1940819.01
작은 연못,687000.95
경,4885.12
대한민국 1%,875689.93
포화 속으로,1630265.55
나쁜 놈이 더 잘 잔다,4052.15
맨발의 꿈,2891569.07
요술,392973.69
마법천자문: 대마왕의 부활을 막아라,1843734.87
인플루언스,28.96
미스터 좀비,3581.98
김복남 살인사건의 전말,81053.57
엄지아빠,5125.47
탈주,22.16
해결사,2299437.9
할,5469.49
된장,2122140.08
조금만 더 가까이,13967.26
우리 만난 적 있나요,7150.31
쩨쩨한 로맨스,1659791.51
용서,162639.05
브라보! 재즈 라이프,9960.0
카페 느와르,776362.13
오래된 인력거,3521.37
창피해,79457.47
"양 한 마리, 양 두 마리",2082.24
하얀 정글,4224.37
다슬이,3754.91
REC 알이씨,28.29
량강도 아이들,143.89
티끌모아 로맨스,162144.26
더 킥,831364.81
커플즈,661613.2
오늘,612584.01
완득이,960076.15
은어,26.14
고래를 찾는 자전거,1757.23
도가니,1684051.61
겨울냄새,180.15
환타스틱 모던가야그머,1667.49
블라인드,2363220.85
링크,2902.83
퀵,1985067.45
모비딕,752585.53
굿바이 보이,16885.03
종로의 기적,12752.4
회초리,898104.58
체포왕,1056917.99
세상에서 가장 아름다운 이별,2865499.65
나는 아빠다,996506.1
수상한 고객들,3391426.32
수상한 이웃들,8137.11
돌아오는 길,504.45
우리 이웃의 범죄,46535.18
엄마는 창녀다,89.18
위험한 상견례,802053.54
간증,154863.25
"사랑한다, 사랑하지 않는다",421986.95
"혜화, 동",8482.65
글러브,3878265.91
가문의 귀환,1694532.72
잔혹한 앵글의 로망스,4922.83
나의 PS 파트너,2148813.33
롤플레이,183354.24
마티나,603.51
음치 클리닉,1140638.93
남영동1985,273200.84
돈 크라이 마미,74036.88
반드시 크게 들을 것 2 : Wild Days,10090.41
범죄소년,49542.77
내가 살인범이다,3335168.16
터치,3584.3
늑대소년,2567025.7
맥코리아,18448.89
용의자X,2889519.78
하나안,6371.85
투 올드 힙합 키드,15669.44
한경직,10131.87
미운오리새끼,1195005.86
황제펭귄 펭이와 솜이,9288.98
두 개의 문,6936.19
I AM,842711.24
후궁 : 제왕의 첩,1872923.12
"안녕, 하세요!",1458274.35
천국의 아이들,84.35
할머니는 일학년,14465.45
두레소리,30.19
"봄, 눈",351657.71
은교,1095989.91
간기남,1229607.46
시체가 돌아왔다,1719498.88
말하는 건축가,1275.11
밀월도 가는 길,89233.96
파파,776156.55
점박이:한반도의 공룡3D,780169.13
댄싱퀸,5033927.5
누구의 딸도 아닌 해원,36314.27
신세계,2849029.18
굿바이 홈런,10916.31
불륜의 시대,3886.89
남쪽으로 튀어,1496619.5
좋은 친구들,2525329.0
지슬 - 끝나지 않은 세월 2,11652.91
누구나 제 명에 죽고 싶다,39694.64
사이코메트리,1498447.51
환상속의 그대,5957.57
몽타주,2251884.5
"힘내세요, 병헌씨",5894.11
꼭두각시,147559.0
홀리,843.14
마이 라띠마,1084819.73
더 테러 라이브,878882.51
슈퍼피쉬 - 끝없는 여정,13224.66
콩가네,22.13
허풍,4532.58
젊은 엄마,1569.49
노라노,16909.49
노브레싱,91827.7
말하는 건축 시티:홀,8345.91
댄서김의 은밀한 교수법,1264.65
소원,748463.7
고양이 소녀,1752.05
롤플레이 2 : 동침,4061.57
동창생,1866513.68
용의자,6518873.98
미녀전쟁,11029.98
캐치미,1432387.54
그 강아지 그 고양이,1329919.89
화려한 외출,52.62
오하이오 삿포로,3564.7
마이 리틀 히어로,5399874.65
박수건달,7305877.81
배꼽,34578.5
나가요 미스콜,1873.56
우아한 거짓말,518651.26
미스터 컴퍼니,2888.75
우리별 일호와 얼룩소,3088.6
찌라시: 위험한 소문,2102368.81
조선미녀삼총사,2248650.28
만찬,777927.7
한 번도 안 해본 여자,2027.0
살인자,23.89
  이것이 우리의 끝이다,12858.56
그댄 나의 뱀파이어,3146.15
황제를 위하여,383215.55
레디액션! 폭력영화,14603.3
스퀴시랜드,102279.65
우는 남자,2043804.71
하이힐,2817761.62
도희야,166062.36
표적,1576579.39
10분,255080.12
메이크 유어 무브,798606.42
카토 프로젝트,13157.9
녀녀녀,7353.13
방황하는 칼날,2467077.61
바리새인,23.32
욕망의 독: 중독,5209.58
설계,3832.18
레쓰링,72083.99
원 컷 - 어느 친절한 살인자의 기록,2122.13
픽업 아티스트,4046.51
옹녀뎐,24.41
왓니껴,223242.98
족구왕,22921.15
내 연애의 기억,22993.15
바세코의 아이들,4366.14
명량,8354619.62
군도: 민란의 시대,5782156.28
산타바바라,27661.35
나는 야한 여자가 좋다,1484.89
숙희,999.82
더 테너 리리코 스핀토,206456.08
기술자들,2067623.66
신화 라이브 3D 더 레전드 컨티뉴스,15472.47
악사들,5602.66
울언니,11946.52
정사: 위험한 성적유희,880.52
레디액션 청춘,3179825.87
"제자, 옥한흠",7028.11
환상,998.66
위층여자,1112.16
가자! 장미여관으로 3 - 방황,1240.8
나는 야한 여자가 좋다 3,1484.89
스물,1750945.74
그라운드의 이방인,71607.25
살인의뢰,1470158.34
살인캠프,9647.36
헬머니,1325302.79
조류인간,131.74
최강전사 미니특공대 : 새로운 악당의 습격,26922.77
생각보다 맑은,55.44
고양이 장례식,4159.42
설해,92389.99
나의 절친 악당들,1079570.24
연평해전,1788628.21
극비수사,1188661.45
성난 화가,1639.28
은밀한 유혹,1521904.79
혜경궁 홍씨,100119.94
